Date,Country,Newspaper,Headline,Link,Summary
"January 15, 2026",Bangladesh,The Daily Star,People and rivers will shape our tomorrow,https://www.thedailystar.net/news/people-and-rivers-will-shape-our-tomorrow,"- The webpage displays a ""Page not found"" error, indicating the article or page is unavailable.
- The headline suggests a focus on the importance of people and rivers in shaping the future.
- The website is The Daily Star, a news outlet, but no specific article content is accessible from the provided page."
"January 15, 2026",Barbados,The Nation Newspaper,US to suspend visa processing for 75 countries,https://nationnews.com/2026/01/14/us-to-suspend-visa-processing-for-75-countries/,"- The United States plans to suspend visa processing services for 75 countries.
- The decision impacts international travelers seeking visas to the US.
- The reasons for the suspension and its duration are not specified in the provided content."
"January 15, 2026",Belarus,Radio Svaboda (RFE/RL Belarus Service),"US suspends processing of immigration visas for 75 countries, including Belarus",https://www.svaboda.org/a/33648194.html,"- The U.S. Department of State has announced a suspension of processing immigration visas for 75 countries, including Belarus, starting January 21, 2026, citing concerns over migrants receiving aid under questionable circumstances.
- The measure does not affect tourist visas, and Russia is the only neighboring country impacted among Belarus's neighbors.
- The suspension is part of broader efforts by the Trump administration to curb illegal migration and tighten visa issuance procedures."
"January 15, 2026",Belgium,VRT NWS,Ryanair to cut 1.1 million passenger seats on flights to and from Belgian airports in response to higher taxes,https://www.vrt.be/vrtnws/en/2026/01/14/ryanair-to-cut-1-1-million-passenger-seats-on-flights-to-and-fro/,"- Ryanair will cut 1.1 million passenger seats on flights to and from Belgian airports due to increased taxes.
- The Belgian government plans to raise the federal air passenger tax from €5 to €10 per passenger starting in 2027, and local taxes are also being imposed.
- Ryanair's CEO criticizes the tax hikes as ""stupid"" and ""ridiculous,"" threatening to reduce flights further if taxes are not reversed."
"January 15, 2026",Benin,24 HEURES AU BENIN,Benin resumes its oil production after 27 years of suspension,https://www.24haubenin.info/?Le-Benin-reprend-sa-production-petroliere-apres-27-ans-d-arret,"- Benin has resumed its oil production after a 27-year suspension.
- The country is also experiencing developments in internet regulation, financial markets, and political elections.
- Security issues persist, including an armed attack on a police station and increased efforts in cybercrime enforcement."
"January 15, 2026",Bhutan,Bhutan Broadcasting Service (BBS),Officials consult residents as 570MW Wangchhu Hydropower Project advances,https://www.bbs.bt/237781/,"- Officials engaged with residents in Bhutan's Chhukha and Dagana districts as the 570MW Wangchhu Hydropower Project advances, aiming to secure public support and address concerns about land and property loss.
- The project, part of Bhutan’s Renewable Energy Development Roadmap 2040, is expected to enhance energy security, support local development, and is scheduled to begin construction soon after approvals.
- The dam will be built in Gamanang village, involving over 750 acres of government land and private land, with affected individuals offered compensation or substitute land."
"January 15, 2026",Bolivia,El Deber,Security forces ambushed after operation in Cochabamba's tropics,https://eldeber.com.bo/pais/policias-umopar-fueron-emboscados-operativo-tropico-cochabamba_1768439385,"- Police from Umopar were ambushed and injured while destroying a drug laboratory in the Cochabamba tropics, with residents blocking access and throwing stones.
- The operation involved dismantling a drug production site, highlighting ongoing challenges in combating drug trafficking in the region.
- No fatalities were reported, and the incident is under investigation to determine responsibility."
"January 15, 2026",Bosnia and Herzegovina,Oslobođenje,"The main headline of the day is: ""Iran's Foreign Minister: We Have Complete Control, Terrorists Wanted to Drag Trump into War",https://www.oslobodjenje.ba/vijesti/svijet/sef-iranske-diplomatije-imamo-potpunu-kontrolu-teroristi-su-zeljeli-trumpa-uvuci-u-rat-1105764,"- Iran's Foreign Minister claims the country has full control over recent protests, which he describes as organized by terrorists aiming to involve former President Trump in a war.
- He accuses Israel of orchestrating violence against Iranian protesters and warns Trump against repeating past mistakes, advocating diplomacy over conflict.
- The Iranian government denies security forces targeted peaceful demonstrators, asserting they fought terrorists instead."
"January 15, 2026",Botswana,Botswana Daily News,Official Warns Of FMD Catastrophe,https://dailynews.gov.bw/news-detail/89595,"- An outbreak of Foot and Mouth Disease (FMD) in South Africa threatens Botswana’s livestock industry and economy, risking loss of export markets and socio-economic impacts.
- Authorities are monitoring borders and urging residents to report suspicious animals and avoid illegal crossings to prevent disease spread.
- Residents criticize border security and compensation rates for affected livestock, calling for improved enforcement and higher payouts."
"January 15, 2026",Brunei,BruDirect.com,Special Announcement by the Prime Minister's Office,https://brudirect.com/post/Special-Announcement-by-the-Prime-Minister's-Office,"- The Prime Minister's Office in Brunei announced a special statement approved by the Sultan, involving key government ministers.
- The announcement was broadcast on January 13, 2026, and covered various national initiatives and upcoming events.
- The news highlights ongoing efforts to strengthen health, education, economic growth, and national stability in Brunei."
"January 15, 2026",Bulgaria,dnes.bg,The European Union's plan to support Ukraine will cause dissatisfaction in Washington,https://www.dnes.bg/a/2-svyat/706944-planat-na-es-za-podkrepa-na-ukrayna-shte-predizvika-nedovolstvo-vav-vashington,"- The EU plans to issue a 90 billion euro loan to support Ukraine, with most funds allocated for military expenses, contingent on Ukraine purchasing European-made weapons.
- The plan may cause tension with the US, as it emphasizes European weapon procurement and limits Ukraine's ability to buy arms from the US unless European options are unavailable.
- The initiative signals Europe's growing assertiveness in its support for Ukraine amid geopolitical tensions involving the US and other global powers."
"January 15, 2026",Burkina Faso,leFaso.net,"Sir Ron Sanders Says U.S. Reviewing Green Card Applications, Not Imposing Blanket Visa Ban",https://antigua.news/2026/01/14/sir-ron-sanders-says-u-s-reviewing-green-card-applications-not-imposing-blanket-visa-ban/,"- The U.S. is reviewing only immigrant visa applications (green cards) and not implementing a blanket visa ban, according to Antigua's ambassador to the U.S., Sir Ron Sanders.
- No official U.S. government notification has been received regarding suspending visa processing for Antigua and other countries; discussions are ongoing.
- The review pertains solely to immigrant visas, with no impact on other visa categories, and Antigua continues diplomatic efforts to resolve visa restrictions."
"January 15, 2026",Burundi,Iwacu,A communication breakdown creates chaos,https://www.iwacu-burundi.org/une-cacophonie-communicationnelle/,"- Burundian authorities are embroiled in conflicting statements regarding the presence of their troops in eastern DRC, with some officials claiming withdrawal to honor peace agreements, while others assert troops are still deployed.
- A recent diplomatic incident involved Burundi's foreign minister criticizing Qatar's role in mediating the DRC conflict, prompting a presidential clarification emphasizing strong bilateral relations.
- These contradictory messages have sparked public confusion and political concern over transparency and adherence to international commitments."
"January 15, 2026",Cabo Verde,A Nação,President calls for reflection and future planning during a solemn parliamentary session,https://anacao.cv/noticia/2026/01/14/13-de-janeiro-sessao-solene-do-parlamento-pr-apela-a-reflexao-e-perspetivacao-do-futuro-do-pais/,"- The President of Cabo Verde called for reflection and future planning during a solemn parliamentary session celebrating the country's 35 years of democracy and 50 years of independence.
- He emphasized the importance of inclusive, transparent governance and highlighted 2026 as a pivotal year with upcoming legislative and presidential elections.
- The President urged citizens to actively practice democracy daily, emphasizing that it is built through participation, not inherited, and called for unity and responsible debate."
"January 15, 2026",Cambodia,Thmey Thmey,Thailand requests Cambodia to hold a second joint border meeting while waiting for the upcoming elections.,https://thmeythmey.com/detail/155451,"- Thailand has asked Cambodia to hold a second joint border meeting.
- The request is made while awaiting upcoming elections in Thailand.
- The goal is to address border issues and improve bilateral relations."
"January 15, 2026",Canada,CBC News,"Iran warns of retaliation if Trump strikes, as U.S. withdraws some personnel from Middle East bases",https://www.cbc.ca/news/world/iran-protests-white-house-threats-9.7044684,"- Iran has warned it will retaliate against U.S. military targets if the U.S. strikes, prompting the U.S. and UK to withdraw some personnel from Middle East bases as a precaution.
- The situation is tense with reports of imminent U.S. military action, increased regional tensions, and Iran's airspace temporarily closed amid fears of conflict.
- Ongoing protests in Iran have resulted in over 2,600 deaths, with the U.S. and Canada advising their citizens to leave Iran due to escalating violence and unrest."
"January 15, 2026",Chad,Alwihda Info,Ethiopia-Israel: Political consultations held in Jerusalem,https://www.alwihdainfo.com/Ethiopie-Israel-des-consultations-politiques-se-sont-tenues-a-Jerusalem_a147435.html,"- Ethiopia and Israel held their fourth round of political consultations in Jerusalem, focusing on bilateral, regional, and multilateral cooperation in areas such as development, trade, technology, water conservation, and cultural ties.
- Israel praised Ethiopia’s recent development achievements, and both countries agreed to expand cooperation, strengthen trade, and maintain regular dialogue, including potential joint ministerial consultations.
- The long-standing relationship between Ethiopia and Israel is based on mutual respect and includes political dialogue, security cooperation, and collaboration in technology and innovation."
"January 15, 2026",Chile,emol.com,Carter on hold: The other names being considered to lead the Ministry of Security,https://www.emol.com/noticias/Nacional/2026/01/14/1188509/nombres-ministerio-seguridadcarter.html,"- Rodolfo Carter, a former mayor and senator-elect, is considered for the Minister of Security role but faces criticism and may decline to remain in Congress.
- Other potential candidates include ex-mayor Germán Codina and retired generals Cristián Vial and Enrique Bassaletti, though some are ruled out or prefer civilian appointees.
- The government prefers a civilian for the position, amid political debates and concerns about the candidates' backgrounds and commitments."
"January 15, 2026",China,Xinhua News Agency,CPC calls for reinforced anti-corruption efforts during 15th Five-Year Plan period,https://english.news.cn/20260114/1e919e75bef74a57afa3f0ea1044a22d/c.html,"- The Communist Party of China (CPC) has called for stronger anti-corruption measures during the 15th Five-Year Plan (2026-2030).  
- The effort includes targeting corruption in key sectors like finance, energy, and education, and strengthening discipline inspection systems.  
- Leaders emphasized political oversight, strict enforcement, and long-term mechanisms to prevent corruption and improve governance."
"January 15, 2026",Colombia,El Tiempo,Confirmed official date for a meeting between President Petro and Trump at the White House: 'We will see the results,https://www.eltiempo.com/mundo/eeuu-y-canada/confirman-fecha-oficial-para-reunion-entre-el-presidente-gustavo-petro-y-donald-trump-en-la-casa-blanca-estados-unidos-ya-veremos-los-resultados-3524275,"- President Gustavo Petro of Colombia has officially confirmed the date for a meeting with former U.S. President Donald Trump at the White House.
- The Colombian government stated, ""We will see the results,"" indicating anticipation about the outcomes of the upcoming meeting.
- The announcement was made during a recent Colombian Council of Ministers session."
"January 15, 2026",Comoros,Al Watwan,New Year's Wishes: The Head of State Praises Security Efforts,https://alwatwan.net/societe/vœux-du-nouvel-an-i-le-chef-de-l’etat-salue-les-efforts-consentis-en-matière-de-sécurité.html,"- The Comorian President praised security forces for their efforts and modernization, emphasizing their loyalty and role in national sovereignty.
- Military and security leaders expressed commitment to their duties, with the President urging vigilance and stronger community ties amid global instability.
- The President highlighted ongoing international conflicts, terrorism, and climate crises, calling for adaptive security measures and national unity."
"January 15, 2026",Congo,Les Dépêches de Brazzaville,"Pamelo Mounk’A, 1945-2026: The Congolese artist would have turned 81 this year",https://www.adiac-congo.com/content/pamelo-mounka-1945-2026-lartiste-congolais-aurait-eu-81-ans-cette-annee-168648,"- Congolese artist Pamelo Mounk’A, born in 1945, was a renowned singer and composer, known for hits like ""Masuwa"" and ""Bwala yayi mambou,"" and passed away in 1996.
- He is celebrated as one of the greatest figures in Congolese music, with a lasting legacy of influential songs and collaborations.
- The article commemorates what would have been his 81st birthday in 2026, highlighting his enduring impact on Congolese culture."
"January 15, 2026",Costa Rica,La Nación,Célimo Guido explains where the audio came from in which he talks about appointing himself as president for 18 days,https://www.nacion.com/politica/celimo-guido-explica-de-donde-surgio-el-audio-en/IOCEEHW4QJD6JO3URFORQQ4EJE/story/,"- Célimo Guido explains that the controversial audio suggesting he would be president for 18 days was a joke made during a meeting for farmers' defense, not a serious plan.
- Guido criticizes the government for misrepresenting the conversation, which originated from a discussion about political activism and future trips, not a coup.
- He vows to provide the full audio to authorities and condemns efforts to portray him as part of a conspiracy to overthrow the government."
"January 15, 2026",Côte d'Ivoire,Fraternité Matin,Morocco defeats Nigeria in penalty shootout and advances to a historic final at home,https://www.fratmat.info/article/2639392/sports/can-2025-le-maroc-dompte-le-nigeria-aux-tirs-au-but-et-soffre-une-finale-historique-a-domicile,"- Morocco defeated Nigeria in a penalty shootout (3-2) after a 0-0 draw, advancing to the final of the 2025 Africa Cup of Nations held at home in Rabat.
- The Moroccan team dominated the match, with key saves by goalkeeper Yassine Bounou during penalties, and Youssef En-Nesyri scored the winning penalty.
- Morocco will face Senegal in the final, aiming for their first continental title, while Nigeria exits the tournament after a largely underwhelming performance."
"January 15, 2026",Croatia,24sata,"Iranian authorities are closing the airspace, Trump claims: They are stopping killings and have no plans for executions",https://www.24sata.hr/news/strasna-brojka-ubijenih-u-iranu-trump-potice-destabilizaciju-i-nasilje-trump-pomoc-stize-1100882?24sata_ref=frontpage-home,"- Iran has closed its airspace to all flights except international flights with permission, as of Wednesday evening.
- U.S. President Trump claims Iran is stopping killings and has no plans for executions amid the airspace closure.
- The move follows ongoing protests and unrest in Iran, with live updates available through various sources."
"January 15, 2026",Cyprus,Phileleftheros,"Countermeasure countdown for US strike on Iran: Americans being evacuated from Middle Eastern bases – Trump: ""We were informed that the killings have stopped and executions are not scheduled",https://www.philenews.com/kosmos/diethni/article/1669144/xekinise-i-apomakrinsi-amerikanon-apo-vasis-sti-mesi-anatoli-antistrofi-metrisi-gia-chtipima-ton-ipa-sto-iran/,"- The U.S. is evacuating military personnel from Middle Eastern bases, including the key Al Udeid airbase in Qatar, amid heightened tensions with Iran and potential military action.
- President Trump announced that killings in Iran have stopped and there are no current plans for executions, suggesting a possible de-escalation.
- U.S. officials consider a military strike on Iran likely within 24 hours, with some European and Israeli sources indicating the decision may have already been made."
"January 15, 2026",Czechia,Novinky.cz,"Peace treaty hindered by Ukraine, says Trump",https://www.novinky.cz/clanek/zahranicni-mirovou-dohodu-brzdi-ukrajina-mini-trump-40557753,"- Donald Trump claims that Ukraine is hindering a potential peace treaty, suggesting Russia is ready to negotiate while Ukraine remains hesitant.
- Trump attributes the lack of progress to Ukrainian President Zelenskyy, despite Russia's ongoing invasion and demands.
- The former U.S. president notes that Russia's leader, Vladimir Putin, is prepared for a deal, contrasting with Ukraine's stance."
"January 15, 2026",North Korea,NK News (independent specialist source),How anyone can now read North Korea’s party newspaper at a library in Seoul,https://www.nknews.org/2026/01/how-anyone-can-now-read-north-koreas-party-newspaper-at-a-library-in-seoul/,"- Visitors in South Korea can now freely access and read North Korea's official party newspaper, Rodong Sinmun, at the National Library of Korea in Seoul.
- The library has opened a dedicated room where anyone can view the publication without restrictions, marking a shift in access to North Korean media.
- This move indicates increased openness by the South Korean government towards North Korean media, which was previously considered highly sensitive and restricted."
"January 15, 2026",Democratic Republic of the Congo,Radio Okapi,Senegal and Morocco to face off in the final of the 35th edition of the Africa Cup of Nations.,https://radiookapi.net/2026/01/15/actualite/sport/can-2025-senegal-maroc-affiche-de-la-finale-de-la-35-edition,"- Senegal and Morocco will compete in the final of the 35th Africa Cup of Nations on January 18, 2026, in Rabat.
- Senegal secured their spot by defeating Egypt 1-0, with Sadio Mané scoring the only goal; Morocco beat Nigeria in a penalty shootout.
- This final marks Senegal's fourth appearance in the tournament's final, while Morocco's last final was 12 years ago, with their only win in 1976."
"January 15, 2026",Denmark,DR (Danish Broadcasting Corporation),The battle for Greenland,https://www.dr.dk/nyheder/seneste/kampen-om-groenland,"- The article titled ""The battle for Greenland"" appears to be unavailable due to a website error.
- The error message indicates the page may have been moved, deleted, or the link is incorrect.
- Readers are advised to visit the help site or try navigating back to find the correct page."
"January 15, 2026",Dominica,The Chronicle,Dominica’s 2025 Budget Charts a Bold Course for Recovery,https://www.dom767.com/news-dominica/dominicas-2025-budget-charts-a-bold-course-for-recovery/,"- Dominica's 2025 budget outlines a bold plan for economic recovery and development.
- The government has lifted airspace restrictions, restoring normal airport operations.
- Concessions are offered on Christmas barrels, and mobile confirmation services are available for voters unable to visit centers."
"January 15, 2026",Dominican Republic,ALMOMENTO.NET,Senate in the United States Blocks Law Aimed at Limiting Trump's War Powers,https://almomento.net/eeuu-senado-bloquea-ley-que-buscaba-limitar-poderes-trump/,"- The U.S. Senate blocked a resolution that would have limited President Trump's war powers to conduct military actions against Venezuela.
- Several Republican senators reversed their support after pressure from the White House, allowing Trump to prevent the legislation's passage.
- Trump assured that no ground troops would be sent to Venezuela, and the vote reflected ongoing debates over presidential military authority."
"January 15, 2026",El Salvador,El Diario de Hoy,Assembly approves a 50% January salary bonus for employees,https://www.eldiariodehoy.com/noticias/nacionales/en-vivo-asamblea-aprobara-bono-de-enero-para-empleados/57164/2026/,"- The El Salvador legislature approved a law granting a 50% salary bonus for employees earning less than $1,500 in January, applicable to public and private sector workers.
- The bonus, called ""Quincena 25,"" will be paid between January 15-25 and is non-taxable, with plans to make it an annual benefit starting in 2027.
- Private companies are encouraged to voluntarily pay the bonus this year, with deductions from corporate income tax, while public employees will receive it as a transitory measure in 2026."
"January 15, 2026",Equatorial Guinea,AHORAEG,"Sorry, I cannot identify a main headline from this HTML content as it appears to be a blocked access error page from Cloudflare, not a news article or homepage with a headline.",https://ahoraeg.com/,"- Access to ahoraeg.com has been blocked by Cloudflare's security system.
- The block may have been triggered by certain actions or data submitted on the site.
- Users are advised to contact the website owner and include the Cloudflare Ray ID for assistance."
"January 15, 2026",Eritrea,Shabait.com,Eritrean community festival in Emirates,https://shabait.com/2026/01/14/eritrean-community-festival-in-emirates/,"- The Eritrean community in the UAE held its annual festival in Dubai from January 9-11, themed “Our Cohesion – Our Armour,” featuring cultural exhibitions and community activities.  
- Key officials, including the Eritrean Consulate representatives, participated, emphasizing national unity and the importance of cultural preservation.  
- The event showcased Eritrea’s history, culture, development, and heritage through photo exhibits and artistic programs."
"January 15, 2026",Estonia,Delfi.ee,When will winter break? Forecaster: late January could bring very cold weather,https://maaleht.delfi.ee/artikkel/120429504/millal-murdub-talve-selgroog-sunoptik-jaanuari-lopp-voib-vaga-kulm-tulla,"- The traditional Estonian winter break is associated with ""Taliharjapäev,"" marking the period when winter's grip is expected to weaken.
- A weather forecaster predicts that late January could bring very cold weather, potentially extending the winter's cold spell.
- The article discusses whether the upcoming weather will involve significant frost or a period of thaw."
"January 15, 2026",Eswatini,Times of Eswatini,Status Capital investors oppose liquidation,https://www.times.co.sz/news/readmore.php?bhsadjgfoh=Status+Capital+investors+oppose+liquidation&yiphi=2529&bvhdgsj=News,"- Investors of Status Capital Building Society oppose its provisional liquidation, arguing their right to meet despite regulatory orders.
- The regulator, FSRA, revealed the society was operating as a pyramid scheme involved in money laundering, leading to court-ordered liquidation.
- Members held an unauthorized meeting to discuss their investments, despite FSRA warnings and court directives against such gatherings."
"January 15, 2026",Ethiopia,Ethiopian News Agency (ENA),Ethiopia and South Sudan Discuss Ways to Strengthen Strategic Cooperation,https://www.ena.et/web/eng/w/eng_8116158,"- Ethiopia's Foreign Minister met with South Sudan's President to strengthen bilateral relations.
- They discussed enhancing economic cooperation through trade, investment, and infrastructure projects.
- The leaders emphasized deepening historic ties and regional collaboration."
"January 15, 2026",Fiji,Fiji Times,PSC ends Ali’s term,https://www.fijitimes.com.fj/psc-ends-alis-term/,"- Shaheen Ali's 14-year tenure as a Permanent Secretary in Fiji's Ministry of Trade has ended, with no new contract offered after a competitive recruitment process.  
- A new appointee has been selected for the position, and discussions are ongoing about Ali possibly moving to another civil service role.  
- The Public Service Commission will announce the new Permanent Secretary for Commerce and Business Development soon."
"January 15, 2026",Finland,YLE (Finnish Broadcasting Company),Reuters source: Former Ukrainian Prime Minister suspected of bribery,https://yle.fi/uutiset/lyhyesti/74-20204376,"- A Reuters source reports that a former Ukrainian Prime Minister is suspected of bribery, highlighting ongoing efforts to combat corruption in Ukraine.
- The investigation is part of Ukraine's broader push to join the European Union, where tackling corruption is a key requirement.
- The article also includes unrelated international news updates, such as US-UK relations and geopolitical issues."
"January 15, 2026",France,Le Monde,Trump says Iran executions stopped as Tehran postpones hanging of protester,https://www.lemonde.fr/en/international/article/2026/01/15/trump-says-iran-executions-stopped-as-tehran-postpones-hanging-of-protester_6749442_4.html,"- U.S. President Donald Trump claimed that Iran had halted executions after receiving assurances from ""very important sources.""
- Iranian Foreign Minister Abbas Araghchi confirmed there would be no hangings ""today or tomorrow.""
- The announcement follows Iran's postponement of the hanging of a protester, amid international attention on human rights issues."
"January 15, 2026",Gambia,The Point,"With increased foreign vehicles, Gambia’s transport system risks collapse – President warns",https://thepoint.gm/africa/gambia/headlines/with-increased-foreign-vehicles-gambias-transport-system-risks-collapse-president-warns,"- The Gambian President warns that the increasing number of foreign vehicles in the country threatens to collapse the national transport system, causing economic and security concerns.
- The Transport Union proposes regulations, including a central terminal for foreign vehicles, to protect local transporters and boost government revenue.
- Authorities acknowledge outdated laws and infrastructure issues, emphasizing the need for reforms, better vehicle safety standards, and improved road maintenance."
"January 15, 2026",Georgia,Civil Georgia,Gazprom Says It Delivered 40% More Natural Gas to Georgia in 2025,https://civil.ge/archives/717302,"- Gazprom increased natural gas exports to Georgia by 40.4% in 2025 compared to the previous year.
- Georgia's imports of Russian gaseous hydrocarbons rose by 73.7 tons, valued at $160.9 million, during January-November 2025.
- Georgia shifted reliance from Russian to Azerbaijani gas after 2007, but recent data shows increased Russian gas imports."
"January 15, 2026",Germany,Der Spiegel,Criticism of online service: X wants to prevent chatbot Grok from creating AI nude images,https://www.spiegel.de/netzwelt/elon-mus-x-will-chatbot-grok-an-erstellen-von-ki-nacktbildern-hindern-a-c32ac79e-8115-4a8b-9d4e-63d8b291ed9a,"- Elon Musk's xAI platform has implemented restrictions on its chatbot Grok to prevent the creation of sexually explicit AI-generated images, especially of real people in revealing clothing, due to international criticism.
- The platform will also block the generation of such images in regions where it is illegal, and only paying users will be able to create or modify images with Grok.
- Authorities in California and Malaysia are investigating Grok for producing non-consensual and potentially illegal sexualized images, with California examining whether xAI violated local laws on harassment and protection."
"January 15, 2026",Ghana,Joy News,NaCCA Director-General apologizes as withdrawn teacher manual sparks national outrage,https://www.myjoyonline.com/nacca-director-general-apologises-as-withdrawn-teacher-manual-sparks-national-outrage/,"- NaCCA's Director-General apologized after a teacher manual containing controversial content on gender identity was withdrawn following nationwide distribution and public outrage.
- The manual, developed in 2024 for a senior high school curriculum, was found to be inconsistent with Ghanaian cultural values, prompting NaCCA to recall and revise it.
- The official stated the content was approved through existing review systems but only flagged after public attention, and assured measures are being taken to prevent future occurrences."
"January 15, 2026",Greece,Kathimerini,The Middle East prepares for Trump's strike on Iran,https://www.kathimerini.gr/world/564021400/h-mesi-anatoli-proetoimazetai-gia-to-chtypima-tramp-sto-iran/,"- The U.S. is preparing for a potential military strike on Iran, with President Trump considering options and reports suggesting an attack could occur within 24 hours.
- Tensions escalate as Iran warns of retaliatory strikes on U.S. bases in neighboring countries, and the U.S. begins withdrawing personnel from Middle Eastern military sites.
- International efforts include European advisories for citizens to leave Iran and diplomatic pressures on Lebanese Hezbollah to avoid escalation."
"January 15, 2026",Grenada,NOW Grenada,Notice Draft Bill and Policy Statement for the Decriminalisation of Cannabis in Grenada,https://nowgrenada.com/2026/01/draft-bill-and-policy-statement-for-the-decriminalisation-of-cannabis-in-grenada/,"- Grenada's draft legislation proposes decriminalizing small amounts of cannabis (up to 56 grams for adults 21+) and allowing limited household cultivation for medicinal or horticultural purposes.
- It recognizes Rastafarian religious use, mandates expunging minor cannabis offenses, and replaces criminal charges for youth aged 18-20 with rehabilitation.
- The bill does not legalize recreational use, permit public smoking, or allow minors to access cannabis."
